Date, Open, High, Low, Close, Volume
06/05/2018,23,23,23,23,11000
06/04/2018,23.25,23.25,23.25,23.25,700
05/31/18,23.25,24,22.75,23.25,3300
05/30/18,22.25,23.75,22,22.25,2100
05/29/18,22.75,23,22.75,22.75,41400
05/28/18,23.75,24,23,23.75,400
05/25/18,23.5,24,23.25,23.5,600
05/24/18,24,25.25,24,24,2200
05/23/18,23.5,24,22.5,23.5,300
05/22/18,22.5,23,22.5,22.5,58300
05/21/18,22.5,24,22.5,22.5,2100
05/18/18,24.75,24.75,24.75,24.75,100
05/17/18,24,24.75,24,24,16000
05/16/18,24,24,24,24,100
05/15/18,24,24.25,24,24,5000
05/14/18,24.75,25,24.5,24.75,2200
05/11/2018,25,25,25,25,900
05/10/2018,25,25.25,24.75,25,600
05/09/2018,24.75,25,24.75,24.75,2600
05/08/2018,25,25.25,25,25,1400
05/07/2018,24.5,25.25,24.5,24.5,2300
05/02/2018,25,25,25,25,2600
04/30/18,25,25,25,25,500
04/27/18,25,25,25,25,1100
04/26/18,25,25,25,25,100
04/25/18,24.5,25,24.25,24.5,2000
04/24/18,24.5,24.5,24.5,24.5,100
04/23/18,25,25,25,25,300
04/20/18,24.5,24.75,24.5,24.5,600
04/19/18,24.75,25,24.75,24.75,1500
04/18/18,25,25,25,25,9000
04/17/18,25,25.5,25,25,14100
04/16/18,25.25,26,25.25,25.25,1100
04/13/18,25.25,25.25,25.25,25.25,200
04/11/2018,25.5,26,25.25,25.5,2500
04/10/2018,25.25,26,25.25,25.25,40400
04/09/2018,25.5,25.5,25.5,25.5,200
04/06/2018,25,25,25,25,1500
04/05/2018,24.75,25,24.75,24.75,4300
04/04/2018,24.75,25,24.5,24.75,8300
04/03/2018,24.5,25,24.5,24.5,400
03/29/18,25,26,25,25,492700
03/28/18,25,25.25,25,25,53400
03/27/18,25,25.25,25,25,15900
